2024-09-25 06:36:11.098 [info] Default formatter is set to null for workspace /home/kittanaiyam
2024-09-25 06:36:11.098 [info] Test server listening.
2024-09-25 06:36:11.098 [info] Python interpreter path: /bin/python
2024-09-25 06:36:11.311 [info] > pyenv which python
2024-09-25 06:36:11.311 [info] cwd: .
2024-09-25 06:36:12.398 [info] Starting Jedi language server for kittanaiyam.
2024-09-25 07:05:08.142 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:05:11.205 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:05:35.861 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:05:44.681 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:05:51.171 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:05:53.184 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:05:54.720 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:05:58.660 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:06:23.641 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:06:49.135 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:07:21.785 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:07:22.940 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:07:24.710 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
2024-09-25 07:09:50.455 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise2_taskflow.py
2024-09-25 07:09:51.199 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise2_taskflow.py
2024-09-25 07:09:51.945 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise2_taskflow.py
2024-09-25 07:10:25.270 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise2_taskflow.py
2024-09-25 07:10:25.585 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise2_taskflow.py
2024-09-25 07:15:25.215 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise1_taskflow.py
